"imdb","trakt_id","watched_at","title","year","slug"
"tt0142234","25364","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: Bio-Broly'","1994","dragon-ball-z-bio-broly-1994"
"tt0142244","25360","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: Lord Slug'","1991","dragon-ball-z-lord-slug-1991"
"tt0142250","25397","2019-11-11T14:16:29.000Z","b'Dragon Ball: The Path to Power'","1996","dragon-ball-the-path-to-power-1996"
"tt0142235","17877","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: Dead Zone'","1989","dragon-ball-z-dead-zone-1989"
"tt0142243","25366","2019-11-11T14:16:29.000Z","b'Dragon Ball Z: Wrath of the Dragon'","1995","dragon-ball-z-wrath-of-the-dragon-1995"
"tt0142251","25395","2019-11-11T14:16:29.000Z","b'Dragon Ball: Curse of the Blood Rubies'","1986","dragon-ball-curse-of-the-blood-rubies-1986"
"tt4008518","66842","2019-11-11T14:16:29.000Z","b'Dragon Ball: Plan to Eradicate the Super Saiyans'","2010","dragon-ball-plan-to-eradicate-the-super-saiyans-2010"
"tt0142247","25540","2019-11-11T14:15:51.000Z","b'Dragon Ball Z: The History of Trunks'","1993","dragon-ball-z-the-history-of-trunks-1993"
"tt9495224","421031","2019-11-11T14:13:47.000Z","b'Black Mirror: Bandersnatch'","2018","black-mirror-bandersnatch-2018"
"tt0142245","25539","2019-11-11T14:13:24.000Z","b'Dragon Ball Z: Bardock - The Father of Goku'","1990","dragon-ball-z-bardock-the-father-of-goku-1990"
"tt0448011","8207","2019-11-11T14:13:16.000Z","b'Knowing'","2009","knowing-2009"
"tt2649554","149556","2019-11-11T14:13:16.000Z","b'Midnight Special'","2016","midnight-special-2016"
"tt1389072","214603","2019-11-11T14:13:05.000Z","b'Downsizing'","2017","downsizing-2017"
"tt7605074","386938","2019-11-11T14:12:29.000Z","b'The Wandering Earth'","2019","the-wandering-earth-2019"
"tt1549572","39404","2019-11-11T12:31:08.000Z","b'Another Earth'","2011","another-earth-2011"
"tt2884206","148745","2019-11-10T20:13:07.000Z","b'I Origins'","2014","i-origins-2014"
"tt2058673","156888","2019-11-10T09:35:36.000Z","b'Point Break'","2015","point-break-2015"
"tt1291570","219987","2019-11-10T09:35:08.000Z","b'Solace'","2015","solace-2015"
"tt2820852","107556","2019-11-10T09:33:28.000Z","b'Furious 7'","2015","furious-7-2015"
"tt0386588","4225","2019-11-10T09:31:20.000Z","b'Hitch'","2005","hitch-2005"
"tt0172156","4429","2019-11-10T09:31:07.000Z","b'Bad Boys II'","2003","bad-boys-ii-2003"
"tt0112442","5003","2019-11-10T09:31:07.000Z","b'Bad Boys'","1995","bad-boys-1995"
"tt0944835","16981","2019-11-10T09:28:35.000Z","b'Salt'","2010","salt-2010"
"tt0493464","4392","2019-11-10T09:28:35.000Z","b'Wanted'","2008","wanted-2008"
