certification,country,duration,genres,ids,language,overview,rating,released,tagline,title,votes,watched_at,year
R,fr,118,"['comedy', 'science-fiction', 'romance', 'drama', 'thriller']","{'trakt': 154718, 'slug': 'the-lobster-2015', 'imdb': 'tt3464902', 'tmdb': 254320}",en,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",6.78397,2015-07-10,An unconventional love story...,The Lobster,7397.0,2018-11-24T16:55:28.000Z,2015
PG-13,us,127,"['action', 'adventure']","{'trakt': 58, 'slug': 'indiana-jones-and-the-last-crusade-1989', 'imdb': 'tt0097576', 'tmdb': 89}",en,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",8.34545,1989-05-24,"The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,15354.0,2018-11-19T23:59:13.000Z,1989
G,us,149,"['adventure', 'mystery', 'science-fiction']","{'trakt': 33, 'slug': '2001-a-space-odyssey-1968', 'imdb': 'tt0062622', 'tmdb': 62}",en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",8.0912,1968-04-10,The Ultimate Trip.,2001: A Space Odyssey,10921.0,2018-11-19T23:58:55.000Z,1968
R,us,151,"['crime', 'drama', 'thriller']","{'trakt': 952, 'slug': 'the-departed-2006', 'imdb': 'tt0407887', 'tmdb': 1422}",en,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",8.3747,2006-10-05,Lies. Betrayal. Sacrifice. How far will you take it?,The Departed,19098.0,2018-11-19T23:57:52.000Z,2006
PG-13,us,179,"['action', 'adventure', 'fantasy']","{'trakt': 89, 'slug': 'the-lord-of-the-rings-the-two-towers-2002', 'imdb': 'tt0167261', 'tmdb': 121}",en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",8.74813,2002-12-18,A New Power Is Rising.,The Lord of the Rings: The Two Towers,33156.0,2018-11-19T23:56:59.000Z,2002
PG,us,118,"['animation', 'family', 'action', 'adventure', 'superhero']","{'trakt': 159626, 'slug': 'incredibles-2-2018', 'imdb': 'tt3606756', 'tmdb': 260513}",en,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",7.88554,2018-06-15,Back to work.,Incredibles 2,16845.0,2018-11-19T23:55:55.000Z,2018
R,us,108,"['comedy', 'crime']","{'trakt': 37532, 'slug': 'henry-s-crime-2010', 'imdb': 'tt1220888', 'tmdb': 53172}",en,An aimless man is sent to prison for a crime he did not commit.,5.92365,2011-04-08,The real crime is not committing to your dreams.,Henry's Crime,406.0,2018-11-19T10:17:22.000Z,2010
R,us,120,"['action', 'crime', 'thriller']","{'trakt': 841, 'slug': 'point-break-1991', 'imdb': 'tt0102685', 'tmdb': 1089}",en,"In Los Angeles, a gang of bank robbers call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. The F.B.I. believes that the members of the gang could be surfers and send young agent Johnny Utah undercover at the beach to mix with the surfers and gather information.",7.43931,1991-07-12,100% Pure Adrenaline!,Point Break,3617.0,2018-11-19T10:16:07.000Z,1991
R,us,105,"['action', 'drama']","{'trakt': 56535, 'slug': 'man-of-tai-chi-2013', 'imdb': 'tt2016940', 'tmdb': 76544}",en,"In Beijing, a young martial artist's skill places him in position to experience opportunities and sacrifices.",6.53827,2013-11-01,No Rules. No Mercy. Pure Fighting.,Man of Tai Chi,1594.0,2018-11-19T10:15:26.000Z,2013
PG-13,us,104,"['science-fiction', 'drama', 'thriller']","{'trakt': 5413, 'slug': 'the-day-the-earth-stood-still-2008', 'imdb': 'tt0970416', 'tmdb': 10200}",en,"A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",6.07338,2008-12-12,12.12.08 is the Day the Earth Stood Still,The Day the Earth Stood Still,4211.0,2018-11-19T10:14:44.000Z,2008
PG-13,us,120,"['action', 'science-fiction', 'adventure']","{'trakt': 33179, 'slug': 'independence-day-resurgence-2016', 'imdb': 'tt1628841', 'tmdb': 47933}",en,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",6.53829,2016-06-24,We had twenty years to prepare. So did they.,Independence Day: Resurgence,23259.0,2018-11-19T10:14:26.000Z,2016
PG-13,us,112,"['science-fiction', 'adventure']","{'trakt': 195238, 'slug': 'the-5th-wave-2016', 'imdb': 'tt2304933', 'tmdb': 299687}",en,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,6.29857,2016-01-15,Protect Your Own,The 5th Wave,14047.0,2018-11-16T20:25:04.000Z,2016
NC-17,us,101,"['thriller', 'horror', 'fantasy', 'mystery']","{'trakt': 222668, 'slug': 'death-note-2017', 'imdb': 'tt1241317', 'tmdb': 351460}",en,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",5.30731,2017-08-25,,Death Note,6277.0,2018-11-16T20:13:35.000Z,2017
,us,104,"['science-fiction', 'romance', 'thriller']","{'trakt': 331956, 'slug': 'zoe-2018', 'imdb': 'tt6010628', 'tmdb': 458005}",en,"Two colleagues at a revolutionary research lab design technology to improve and perfect romantic relationships. As their work progresses, their discoveries become more profound.",6.76957,2018-07-19,,Zoe,460.0,2018-11-16T20:13:20.000Z,2018
PG-13,us,119,"['action', 'adventure', 'comedy', 'crime', 'thriller']","{'trakt': 22059, 'slug': 'the-a-team-2010', 'imdb': 'tt0429493', 'tmdb': 34544}",en,"A group of Iraq War veterans goes on the run from U.S. military forces while they try to clear their names after being framed for a crime they didn't commit. Along the way, Col. Hannibal Smith, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck help out various people they encounter.",6.97965,2010-06-11,There Is No Plan B,The A-Team,7469.0,2018-11-16T20:13:03.000Z,2010
R,us,103,"['crime', 'thriller']","{'trakt': 76, 'slug': 'snatch-2000', 'imdb': 'tt0208092', 'tmdb': 107}",en,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock, Stock and Two Smoking Barrels.” There are two overlapping stories here – one is the search for a stolen diamond, and the other about a boxing promoter who’s having trouble with a psychotic gangster.",8.3969,2001-01-19,Stealin' Stones and Breakin' Bones.,Snatch,13603.0,2018-11-16T20:12:53.000Z,2000
PG-13,us,106,"['science-fiction', 'thriller']","{'trakt': 139232, 'slug': 'project-almanac-2015', 'imdb': 'tt2436386', 'tmdb': 227719}",en,"A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",6.9022,2015-01-30,Today is better the second time around,Project Almanac,4949.0,2018-11-16T20:12:18.000Z,2015
,au,96,"['science-fiction', 'crime', 'mystery']","{'trakt': 257504, 'slug': 'otherlife-2017', 'imdb': 'tt4693358', 'tmdb': 411999}",en,"Ren Amari is the driven inventor of a revolutionary new drug. OtherLIfe expands the brain's sense of time and creates virtual reality directly in the user's mind. With OtherLife, mere seconds in real life feel like hours or days of exciting adventures. As Ren and her colleagues race around the clock to launch OtherLife, the government muscles in to use the drugs as a radical solution to prison overcrowding. They will create virtual cells where criminals serve long sentences in just minutes of real time. When Ren resists, she finds herself an unwilling guinea pig trapped in a prison cell in her mind. She must escape before she descends into madness, and then regain control of OtherLife before others suffer the same fate.",6.85555,2017-10-05,A whole year in a minute,OtherLife,1703.0,2018-11-16T20:11:26.000Z,2017
PG-13,us,82,['comedy'],"{'trakt': 26388, 'slug': 'vampires-suck-2010', 'imdb': 'tt1666186', 'tmdb': 40264}",en,"Becca, an anxious, non-vampire teen is torn between two boys. Before she can choose, Becca must get around her controlling father, who embarrasses Becca by treating her like a child. Meanwhile, Becca's friends contend with their own romantic issues - all of which collide at the prom.",4.11679,2010-08-18,Some sagas just won't die.,Vampires Suck,1096.0,2018-11-16T20:08:52.000Z,2010
R,us,106,"['crime', 'drama', 'thriller']","{'trakt': 77331, 'slug': 'side-effects-2013', 'imdb': 'tt2053463', 'tmdb': 109421}",en,A woman turns to prescription medication as a way of handling her anxiety concerning her husband's upcoming release from prison.,7.18691,2013-02-08,One pill can change your life.,Side Effects,4002.0,2018-11-16T20:08:11.000Z,2013
R,jp,114,"['adventure', 'drama', 'thriller']","{'trakt': 2134, 'slug': 'battle-royale-2000', 'imdb': 'tt0266308', 'tmdb': 3176}",ja,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",7.64341,2000-12-20,Could you kill your best friend?,Battle Royale,4013.0,2018-11-16T20:07:47.000Z,2000
R,us,90,['comedy'],"{'trakt': 185206, 'slug': 'blue-mountain-state-the-rise-of-thadland-2016', 'imdb': 'tt3748440', 'tmdb': 288171}",en,"With Blue Mountain State football star Thad Castle recently signing a multi-million dollar NFL contract, his teammates and college life seem like a distant memory. However, when a new school dean threatens to clean up the BMS image by auctioning off the infamous Goat House, Alex, Sammy and the boys must find a way to convince him to get involved. Despite his new fortune and fame, there is one small favor that Thad needs done before he saves the day: the biggest booze-and-sloot fest in BMS history. Welcome to Thadland!",6.00238,2016-02-02,,Blue Mountain State: The Rise of Thadland,841.0,2018-11-16T20:07:14.000Z,2016
,us,113,"['science-fiction', 'thriller', 'mystery', 'action', 'adventure']","{'trakt': 322525, 'slug': 'how-it-ends-2018', 'imdb': 'tt5246700', 'tmdb': 475210}",en,A desperate father tries to return home to his pregnant wife after a mysterious apocalyptic event turns everything to chaos.,5.87028,2018-07-13,No one survives alone,How It Ends,2937.0,2018-11-16T20:07:02.000Z,2018
R,us,93,"['comedy', 'horror']","{'trakt': 171365, 'slug': 'scouts-guide-to-the-zombie-apocalypse-2015', 'imdb': 'tt1727776', 'tmdb': 273477}",en,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",6.82485,2015-10-30,Always bring protection.,Scouts Guide to the Zombie Apocalypse,3574.0,2018-11-16T20:05:18.000Z,2015
R,no,91,"['comedy', 'horror']","{'trakt': 8695, 'slug': 'dead-snow-2009', 'imdb': 'tt1278340', 'tmdb': 14451}",no,Eight medical students on a ski trip to Norway discover that Hitler's horrors live on when they come face to face with a battalion of zombie Nazi soldiers intent on devouring anyone unfortunate enough to wander into the remote mountains where they were once sent to die.,6.42888,2009-06-09,"Eins, Zwei, Die!",Dead Snow,1378.0,2018-11-16T20:04:39.000Z,2009
R,no,100,"['action', 'comedy', 'horror']","{'trakt': 147365, 'slug': 'dead-snow-2-red-vs-dead-2014', 'imdb': 'tt2832470', 'tmdb': 241842}",no,"The gruesome Nazi Zombies are back to finish their mission, but our hero is not willing to die. He is gathering his own army to give them a final fight.",7.09319,2014-10-10,Heads up. They're back.,Dead Snow 2: Red vs. Dead,837.0,2018-11-16T20:04:38.000Z,2014
